outcome,bmi_ref,bmi_target,OR,ci_low,ci_high
ideal_outcome,25,18.5,0.9586737801027203,0.7077656800929392,1.2985306330984496
ideal_outcome,25,20.0,1.138808685919696,0.9116149249531776,1.4226239474883053
ideal_outcome,25,30.0,0.8356670526042981,0.7296414726669862,0.9570994097358305
ideal_outcome,25,35.0,0.7858967029861945,0.5811929717783796,1.0626997533619296
ideal_outcome,25,40.0,0.7129696327340729,0.4489565809010887,1.1322379909894895
best_performer,25,18.5,1.0988250400884436,0.7897721860469867,1.5288161447781545
best_performer,25,20.0,1.1863902678808314,0.9275351093518698,1.5174863501456883
best_performer,25,30.0,0.7618271613514356,0.6482415702474942,0.8953153429379744
best_performer,25,35.0,0.5991070346079591,0.4119640216524122,0.8712635571355378
best_performer,25,40.0,0.4727946940436113,0.25894262833436293,0.8632600362237377
major_clavien,25,18.5,0.709227700886417,0.4773458481831161,1.0537515589989461
major_clavien,25,20.0,0.6842581757622709,0.5124792852971881,0.9136159539131324
major_clavien,25,30.0,1.076635071611391,0.9060306377312143,1.2793641066335992
major_clavien,25,35.0,0.8239329828558563,0.5587217999867554,1.2150332424004957
major_clavien,25,40.0,0.6272160561984019,0.34375465034398855,1.1444208267710976
popf_bc,25,18.5,0.7442415076192446,0.4972516687429821,1.113913650734598
popf_bc,25,20.0,0.7708687395806012,0.5815438242744337,1.021829462988434
popf_bc,25,30.0,1.1258679703845846,0.9549150608980378,1.3274255885605422
popf_bc,25,35.0,1.214986143055699,0.8557399356924694,1.7250466715951749
popf_bc,25,40.0,1.621830412605499,0.963734624466508,2.729313465009301
conversion,25,18.5,0.7147377441532403,0.4490811847489861,1.1375449701879683
conversion,25,20.0,0.6906081384952766,0.5001808936615322,0.9535342253169945
conversion,25,30.0,1.2630310145608907,1.0505441281562484,1.5184962734906178
conversion,25,35.0,1.3149092608964188,0.8876652663548764,1.947790940937799
conversion,25,40.0,1.4368689467570968,0.7969809219305826,2.5905166778065927
