bin_id,bin,mean_pred,observed,n
1,"(0.0512, 0.147]",0.12201917701466436,0.10396039603960396,202
2,"(0.147, 0.179]",0.16293870218233972,0.12871287128712872,202
3,"(0.179, 0.207]",0.19312042552467124,0.22277227722772278,202
4,"(0.207, 0.236]",0.22191887274658587,0.20398009950248755,201
5,"(0.236, 0.262]",0.24901962725098759,0.2524752475247525,202
6,"(0.262, 0.29]",0.2747121942083189,0.3069306930693069,202
7,"(0.29, 0.329]",0.30801913709067325,0.31343283582089554,201
8,"(0.329, 0.374]",0.3502788978613243,0.3712871287128713,202
9,"(0.374, 0.425]",0.39866455475140267,0.3910891089108911,202
10,"(0.425, 0.62]",0.4942090945860476,0.4801980198019802,202
