outcome,model,aic,bic,llf,n_params
ideal_outcome,spline,2664.7263628216447,-12624.657212210945,-1320.3631814108223,12
ideal_outcome,linear,2664.231589809207,-12641.981571826122,-1323.1157949046035,9
ideal_outcome,categorical,2668.833047110752,-12614.940665720922,-1321.416523555376,13
ideal_outcome,lrt_spline_vs_linear,5.50522698756231,3.0,0.13832631969136344,3
best_performer,spline,2293.524890866222,-12995.858684166367,-1134.762445433111,12
best_performer,linear,2289.8732336728253,-13016.339927962505,-1135.9366168364127,9
best_performer,categorical,2293.3472363869696,-12990.426476444705,-1133.6736181934848,13
best_performer,lrt_spline_vs_linear,2.348342806603341,3.0,0.503323019078135,3
major_clavien,spline,1871.3391106531622,-13418.044464379427,-923.6695553265811,12
major_clavien,linear,1872.2826741541508,-13433.930487481179,-927.1413370770754,9
major_clavien,categorical,1876.354029137005,-13407.41968369467,-925.1770145685025,13
major_clavien,lrt_spline_vs_linear,6.943563500988603,3.0,0.07371851625368564,3
popf_bc,spline,1934.872759661351,-13354.510815371239,-955.4363798306755,12
popf_bc,linear,1931.6163767195808,-13374.596784915748,-956.8081883597904,9
popf_bc,categorical,1938.2532232864337,-13345.52048954524,-956.1266116432168,13
popf_bc,lrt_spline_vs_linear,2.743617058229802,3.0,0.4328658483671556,3
conversion,spline,1609.7742996505808,-13679.609275382008,-792.8871498252904,12
conversion,linear,1605.6407657046418,-13700.572395930687,-793.8203828523209,9
conversion,categorical,1615.4264763650474,-13668.347236466627,-794.7132381825237,13
conversion,lrt_spline_vs_linear,1.866466054060993,3.0,0.6005790650766387,3
