,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],outcome
Intercept,-0.6740695231727721,0.561751590231108,-1.199942349776804,0.23016173095670878,-1.7750824082838461,0.42694336193830196,ideal_outcome
asa_ge3[T.True],-0.4807050039756931,0.1298947970765104,-3.70072562407984,0.00021498383222359662,-0.7352941280247922,-0.22611587992659404,ideal_outcome
sex_male[T.True],-0.22098128388658322,0.09681220628022327,-2.2825766747526868,0.022455316223707233,-0.4107297214596833,-0.031232846313483165,ideal_outcome
malignant[T.True],-0.4933298522525573,0.11275088070576961,-4.375396885279611,1.2121173156799652e-05,-0.7143175176610378,-0.27234218684407685,ideal_outcome
robotic[T.True],0.24379450643237707,0.14121656713886632,1.7263874301139186,0.08427773563607946,-0.03298487918018342,0.5205738920449375,ideal_outcome
splenectomy[T.True],-0.2731113640771754,0.10019357211225133,-2.7258371801655756,0.006413862885193928,-0.46948715689960474,-0.07673557125474606,ideal_outcome
"bs(bmi, df=4, include_intercept=False)[0]",1.5480933306161093,0.7150838486631603,2.1649116163233852,0.030394454446387102,0.14655474131002455,2.949631919922194,ideal_outcome
"bs(bmi, df=4, include_intercept=False)[1]",0.2980673471251159,0.5320807357808784,0.5601919541170272,0.5753485144492912,-0.7447917318729784,1.3409264261232101,ideal_outcome
"bs(bmi, df=4, include_intercept=False)[2]",1.1566595073561798,1.0057355803788457,1.1500632272753872,0.2501178306427053,-0.8145460081568463,3.127865022869206,ideal_outcome
"bs(bmi, df=4, include_intercept=False)[3]",-0.16853747512667672,1.1039074099425021,-0.15267356085186087,0.8786557116795998,-2.3321562408808743,1.9950812906275206,ideal_outcome
age,0.006659857289123147,0.0034657805739341132,1.9216038485562115,0.05465562397694727,-0.00013294781410627243,0.013452662392352568,ideal_outcome
centre_volume,0.010258360295864436,0.0070500828023803575,1.45506947697137,0.1456500282406622,-0.003559548084826279,0.02407626867655515,ideal_outcome
Intercept,-0.9492480505547087,0.6165322401611414,-1.5396567911949037,0.1236440344221818,-2.157629036578345,0.25913293546892757,best_performer
asa_ge3[T.True],-0.20579329482765285,0.16066879835289202,-1.2808541355717968,0.20024490500470504,-0.5206983530386495,0.10911176338334388,best_performer
sex_male[T.True],-0.24218980829937067,0.1093500977134366,-2.214811082602363,0.026773034213713874,-0.4565120615236421,-0.02786755507509922,best_performer
malignant[T.True],-0.310991525005111,0.13314791342670443,-2.3356845556299786,0.019507688014611037,-0.5719566399381089,-0.050026410072113225,best_performer
robotic[T.True],0.15886182695779344,0.15445263540556123,1.028547208279448,0.30369249626629236,-0.14385977575440256,0.46158342966998944,best_performer
splenectomy[T.True],-0.3848903290675652,0.11338559890599997,-3.3945256962187123,0.0006874758820183352,-0.6071220192888294,-0.1626586388463011,best_performer
"bs(bmi, df=4, include_intercept=False)[0]",0.8285726612041522,0.7946737373682012,1.0426576621850085,0.2971068729939865,-0.728959243497364,2.3861045659056686,best_performer
"bs(bmi, df=4, include_intercept=False)[1]",0.022148524227081683,0.5910390270188853,0.037473877721401254,0.9701071680713903,-1.1362666821875296,1.1805637306416927,best_performer
"bs(bmi, df=4, include_intercept=False)[2]",-0.3193064630395276,1.2080101607320015,-0.26432431896602737,0.7915300226304027,-2.6869628710326925,2.048349944953637,best_performer
"bs(bmi, df=4, include_intercept=False)[3]",-0.8805331193035253,1.5389356590768881,-0.5721701970514494,0.5672066761022584,-3.8967915856186375,2.1357253470115865,best_performer
age,-0.0062113855495827255,0.003675852672319243,-1.6897808762459767,0.09106988375840834,-0.013415924399803755,0.0009931533006383034,best_performer
centre_volume,0.03978346713566777,0.007146787528020032,5.566622343212364,2.5972444867411913e-08,0.025776020975588468,0.053790913295747075,best_performer
Intercept,-0.7509542127933576,0.7121090758085815,-1.0545494198914238,0.291631447046499,-2.1466623544422805,0.6447539288555652,major_clavien
asa_ge3[T.True],0.3843160858329018,0.1541200971857402,2.49361434913798,0.012644984731271928,0.082246246055038,0.6863859256107656,major_clavien
sex_male[T.True],0.35222058898192804,0.1224122377402804,2.877331510998332,0.004010540199980062,0.11229701174402368,0.5921441662198323,major_clavien
malignant[T.True],0.3166472113909362,0.14039745581140106,2.2553628878880487,0.024110560215429944,0.041473254479536426,0.591821168302336,major_clavien
