bin_id,bin,mean_pred,observed,n
1,"(0.049999999999999996, 0.147]",0.12225573412852477,0.10891089108910891,202
2,"(0.147, 0.18]",0.1642249018506765,0.13366336633663367,202
3,"(0.18, 0.209]",0.19514139613048834,0.20297029702970298,202
4,"(0.209, 0.237]",0.22313092528875664,0.22885572139303484,201
5,"(0.237, 0.264]",0.2510982753399585,0.22277227722772278,202
6,"(0.264, 0.29]",0.2755405978180476,0.32673267326732675,202
7,"(0.29, 0.327]",0.3070843514207238,0.2935323383084577,201
8,"(0.327, 0.372]",0.3496694071045734,0.39603960396039606,202
9,"(0.372, 0.421]",0.3967566270319419,0.3910891089108911,202
10,"(0.421, 0.613]",0.4899998397116087,0.47029702970297027,202
