outcome,model,aic,bic,llf,n_params
ideal_outcome,spline,2663.3512131480047,-12626.032361884583,-1319.6756065740024,12
ideal_outcome,linear,2662.7873223006645,-12643.425839334664,-1322.3936611503323,9
ideal_outcome,categorical,2667.418555250405,-12616.35515758127,-1320.7092776252025,13
ideal_outcome,lrt_spline_vs_linear,5.43610915265981,3.0,0.14251033133863578,3
best_performer,spline,2289.7096069485965,-12999.673968083993,-1132.8548034742983,12
best_performer,linear,2285.990074496176,-13020.223087139153,-1133.995037248088,9
best_performer,categorical,2289.549667242897,-12994.224045588777,-1131.7748336214486,13
best_performer,lrt_spline_vs_linear,2.2804675475795193,3.0,0.5162731304234833,3
major_clavien,spline,1870.116786234685,-13419.266788797904,-923.0583931173425,12
major_clavien,linear,1871.2307005784328,-13434.982461056896,-926.6153502892164,9
major_clavien,categorical,1875.2184204803236,-13408.555292351351,-924.6092102401618,13
major_clavien,lrt_spline_vs_linear,7.113914343747865,3.0,0.06835421628130578,3
popf_bc,spline,1930.9446574663843,-13358.438917566204,-953.4723287331922,12
popf_bc,linear,1927.794617861407,-13378.418543773922,-954.8973089307035,9
popf_bc,categorical,1934.449510093913,-13349.324202737762,-954.2247550469565,13
popf_bc,lrt_spline_vs_linear,2.849960395022663,3.0,0.4153414444398922,3
conversion,spline,1592.4602033379147,-13696.923371694675,-784.2301016689573,12
conversion,linear,1588.4413423040855,-13717.771819331243,-785.2206711520428,9
conversion,categorical,1598.3798078325815,-13685.393904999093,-786.1899039162907,13
conversion,lrt_spline_vs_linear,1.9811389661708745,3.0,0.5763305973767348,3
