outcome,bmi_ref,bmi_target,OR,ci_low,ci_high
ideal_outcome,25,18.5,0.9606586155422399,0.7092045566428393,1.3012676906421718
ideal_outcome,25,20.0,1.1400286004000308,0.9125874767773503,1.424154114320748
ideal_outcome,25,30.0,0.8366396460291552,0.7304685308426769,0.9582423715095589
ideal_outcome,25,35.0,0.7879900743798955,0.5827033144091065,1.0655994945745058
ideal_outcome,25,40.0,0.7147628513606731,0.45001933761821067,1.135253290201203
best_performer,25,18.5,1.1021966684348063,0.7923776110301886,1.5331547471783664
best_performer,25,20.0,1.1890842550219078,0.929902520697756,1.520504928280078
best_performer,25,30.0,0.7628997349087658,0.6493252825408546,0.8963396639145119
best_performer,25,35.0,0.6006624276892439,0.4131321160776366,0.8733171254343607
best_performer,25,40.0,0.471615424544605,0.25832655789160014,0.8610075188696668
major_clavien,25,18.5,0.7060841213333224,0.4751562036851261,1.0492439802583942
major_clavien,25,20.0,0.6823762212996465,0.5109830170493465,0.9112578928434657
major_clavien,25,30.0,1.0737487944355397,0.9033923613063806,1.2762300445894108
major_clavien,25,35.0,0.8186533562411391,0.5549799195937856,1.2075992194013534
major_clavien,25,40.0,0.6239024385587777,0.3420171792271519,1.1381131606288841
popf_bc,25,18.5,0.7394176912944842,0.49383617040380123,1.10712530787732
popf_bc,25,20.0,0.7684852156826107,0.5796955887402555,1.0187580140227108
popf_bc,25,30.0,1.1218974682308205,0.9514208571501713,1.3229202615894096
popf_bc,25,35.0,1.2052621817753606,0.8488630359202677,1.7112971885305985
popf_bc,25,40.0,1.6081604576995974,0.9552364679780476,2.7073715717562115
conversion,25,18.5,0.7011338352860939,0.43976468471920777,1.1178447748637879
conversion,25,20.0,0.6845307690997089,0.49520090132023237,0.9462470132727405
conversion,25,30.0,1.2535741446201438,1.0418712632958038,1.508293962431677
conversion,25,35.0,1.2931734671837765,0.8714724251264326,1.9189334831626987
conversion,25,40.0,1.4126455659479815,0.7827290010568825,2.5494998809268234
