bin_id,bin,mean_pred,observed,n
1,"(0.0521, 0.149]",0.1236331749582322,0.12871287128712872,202
2,"(0.149, 0.18]",0.1644511207020364,0.13366336633663367,202
3,"(0.18, 0.211]",0.19596782386693126,0.17326732673267325,202
4,"(0.211, 0.237]",0.22399980679308215,0.2736318407960199,201
5,"(0.237, 0.264]",0.25093548339565186,0.21782178217821782,202
6,"(0.264, 0.292]",0.2776766788710993,0.31683168316831684,202
7,"(0.292, 0.328]",0.3086525905265426,0.3034825870646766,201
8,"(0.328, 0.373]",0.3502949414195212,0.3465346534653465,202
9,"(0.373, 0.424]",0.39681550395029286,0.3811881188118812,202
10,"(0.424, 0.603]",0.482486996295441,0.5,202
