,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],outcome
Intercept,-0.6456625600263926,0.5606305798520482,-1.1516720336532205,0.24945586852273072,-1.744478305168214,0.4531531851154289,ideal_outcome
asa_ge3[T.True],-0.48355496880925375,0.12998571516545446,-3.7200623791141423,0.00019917357870018998,-0.7383222890382264,-0.2287876485802811,ideal_outcome
sex_male[T.True],-0.22086479021786173,0.09679113171301193,-2.2818701084385626,0.022497010088509038,-0.4105719223982378,-0.031157658037485686,ideal_outcome
malignant[T.True],-0.49294234199704756,0.11275011258697293,-4.37198979838537,1.2311927968067815e-05,-0.7139285019203507,-0.2719561820737444,ideal_outcome
robotic[T.True],0.2412594015165026,0.1415160275328836,1.7048203353534779,0.08822793768744806,-0.036106915683127905,0.5186257187161332,ideal_outcome
splenectomy[T.True],-0.27647693113550986,0.10042584440045209,-2.7530456207372973,0.005904366786726004,-0.4733079692774194,-0.07964589299360031,ideal_outcome
"bs(bmi, df=4, include_intercept=False)[0]",1.5493555174942126,0.7150144392149277,2.1668870340511943,0.030243468846571087,0.14795296820685078,2.9507580667815745,ideal_outcome
"bs(bmi, df=4, include_intercept=False)[1]",0.3021408777514076,0.5319446094781272,0.5679931187719484,0.5700396404445791,-0.7404513985959456,1.3447331540987608,ideal_outcome
"bs(bmi, df=4, include_intercept=False)[2]",1.1545019556560492,1.0057613004976738,1.1478886243532886,0.2510145448785861,-0.8167539703635582,3.1257578816756566,ideal_outcome
"bs(bmi, df=4, include_intercept=False)[3]",-0.17308994307233702,1.104503804579837,-0.1567128536403566,0.8754711565137773,-2.3378776208362835,1.9916977346916094,ideal_outcome
age,0.006672695408721019,0.003465636478103549,1.9253881504538015,0.05418081691413974,-0.00011982727187017338,0.013465218089312211,ideal_outcome
centre_volume,0.0006486074241364078,0.0005562972564762301,1.1659367659745452,0.24364001267077828,-0.0004417151632554445,0.0017389300115282602,ideal_outcome
Intercept,-0.8593379648899021,0.6145878354393246,-1.3982345815153066,0.16204263532033214,-2.063907987687408,0.3452320579076035,best_performer
asa_ge3[T.True],-0.21130432397703547,0.1605550805916533,-1.3160861879821475,0.188145116268862,-0.5259864994716017,0.10337785151753082,best_performer
sex_male[T.True],-0.24025197158183406,0.10913670674577648,-2.2013855717808863,0.027708739546469813,-0.4541559861948655,-0.0263479569688026,best_performer
malignant[T.True],-0.31177876204069954,0.13291390890199503,-2.3457196061443932,0.018990387682217752,-0.5722852365330475,-0.051272287548351614,best_performer
robotic[T.True],0.1538816301018532,0.15470035405462912,0.9947076788687452,0.3198784586647474,-0.1493254922408148,0.4570887524445212,best_performer
splenectomy[T.True],-0.38978859993491766,0.11341479672249474,-3.436840793257859,0.0005885414367393226,-0.6120775168249387,-0.1674996830448966,best_performer
"bs(bmi, df=4, include_intercept=False)[0]",0.8260749442447385,0.7934596664981292,1.0411051489114176,0.2978267501551205,-0.7290774252767572,2.3812273137662343,best_performer
"bs(bmi, df=4, include_intercept=False)[1]",0.03352178381990517,0.5903349754114006,0.056784343154569254,0.9547169861650988,-1.1235135068007784,1.1905570744405887,best_performer
"bs(bmi, df=4, include_intercept=False)[2]",-0.32633568875274116,1.207871120941662,-0.27017426205068,0.7870261925501051,-2.6937195837644228,2.04104820625894,best_performer
"bs(bmi, df=4, include_intercept=False)[3]",-0.8983356552212214,1.5406465689568531,-0.5830900307196802,0.5598326945300613,-3.917947443281858,2.121276132839416,best_performer
age,-0.006146716491203241,0.0036688160415276993,-1.6753951197410653,0.09385673350974008,-0.01333746379850034,0.001044030816093857,best_performer
centre_volume,0.002764692451784657,0.0005656713615015618,4.887453457862607,1.0214863319056582e-06,0.0016559969561558588,0.0038733879474134553,best_performer
Intercept,-0.7916244015847892,0.7109796498168228,-1.1134276512537928,0.2655248047571266,-2.1851189089666616,0.6018701057970831,major_clavien
asa_ge3[T.True],0.38004744971848065,0.15419131054524451,2.4647786465694703,0.013709791759553832,0.07783803432077036,0.6822568651161909,major_clavien
sex_male[T.True],0.3527528892197451,0.12240298192392841,2.881897840029548,0.003952878710225212,0.11284745304853819,0.5926583253909521,major_clavien
malignant[T.True],0.31984295796704787,0.14047886435147808,2.276804837821018,0.022797882507690295,0.04450944324906314,0.5951764726850326,major_clavien
robotic[T.True],-0.15473204994887899,0.17774354485522725,-0.8705354114261015,0.38400787597683084,-0.503102996349604,0.19363889645184604,major_clavien
splenectomy[T.True],0.09930551274374709,0.12751888688846053,0.778751408256948,0.4361261666333597,-0.15062691290627245,0.34923793839376666,major_clavien
"bs(bmi, df=4, include_intercept=False)[0]",-1.1345528498640909,0.8994674295865068,-1.2613606813819316,0.20717892756181522,-2.8974766171204616,0.6283709173922796,major_clavien
"bs(bmi, df=4, include_intercept=False)[1]",1.1284658238670198,0.6889587421032528,1.6379294650098204,0.10143640857567682,-0.2218684974893752,2.4788001452234147,major_clavien
"bs(bmi, df=4, include_intercept=False)[2]",-1.8200888414329077,1.2473765108434283,-1.459133489857231,0.14452837025525087,-4.264901877847263,0.6247241949814477,major_clavien
"bs(bmi, df=4, include_intercept=False)[3]",-0.06220982620834299,1.2998282563455963,-0.047860035281309304,0.9618277900945995,-2.6098263947332083,2.4854067423165227,major_clavien
age,-0.008725412604885277,0.004465931522160381,-1.9537721439724147,0.050728169989816045,-0.017478477545741767,2.7652335971212194e-05,major_clavien
centre_volume,-0.0024186499625038905,0.0007900898001418721,-3.061234257257323,0.0022042656293660466,-0.003967197515334409,-0.0008701024096733718,major_clavien
Intercept,-1.1215895840617094,0.7446887390951312,-1.5061186307510828,0.13203672272186523,-2.5811526923807113,0.33797352425729277,popf_bc
asa_ge3[T.True],0.2465090361169131,0.15534756567896643,1.5868226517712962,0.11255281701989035,-0.0579665976998317,0.5509846699336579,popf_bc
sex_male[T.True],0.3540278338006704,0.11987646866710124,2.9532721286928383,0.00314424649815108,0.1190742726193077,0.5889813949820331,popf_bc
malignant[T.True],-0.013643942381655482,0.14126221744339404,-0.09658592813129825,0.9230552319663083,-0.2905128009469736,0.2632249161836626,popf_bc
