centre_volume_cat,bmi_bin,mean,count,sum,bmi_mid
Low,"[15, 17)",0.25,4,1,16.0
Low,"[17, 19)",0.2727272727272727,22,6,18.0
Low,"[19, 21)",0.30158730158730157,63,19,20.0
Low,"[21, 23)",0.273972602739726,73,20,22.0
Low,"[23, 25)",0.18253968253968253,126,23,24.0
Low,"[25, 27)",0.24050632911392406,79,19,26.0
Low,"[27, 29)",0.21212121212121213,66,14,28.0
Low,"[29, 31)",0.11864406779661017,59,7,30.0
Low,"[31, 33)",0.1509433962264151,53,8,32.0
Low,"[33, 35)",0.10344827586206896,29,3,34.0
Low,"[35, 37)",0.1875,16,3,36.0
Low,"[37, 39)",0.1,10,1,38.0
Low,"[39, 41)",0.2,5,1,40.0
Low,"[41, 43)",0.0,4,0,42.0
Mid,"[15, 17)",0.125,8,1,16.0
Mid,"[17, 19)",0.25,44,11,18.0
Mid,"[19, 21)",0.34408602150537637,93,32,20.0
Mid,"[21, 23)",0.26573426573426573,143,38,22.0
Mid,"[23, 25)",0.2903225806451613,186,54,24.0
Mid,"[25, 27)",0.2684563758389262,149,40,26.0
Mid,"[27, 29)",0.1937984496124031,129,25,28.0
Mid,"[29, 31)",0.1744186046511628,86,15,30.0
Mid,"[31, 33)",0.21666666666666667,60,13,32.0
Mid,"[33, 35)",0.3157894736842105,38,12,34.0
Mid,"[35, 37)",0.13043478260869565,23,3,36.0
Mid,"[37, 39)",0.2,10,2,38.0
Mid,"[39, 41)",0.0,7,0,40.0
Mid,"[41, 43)",0.2,5,1,42.0
High,"[15, 17)",1.0,2,2,16.0
High,"[17, 19)",0.47619047619047616,21,10,18.0
High,"[19, 21)",0.5128205128205128,39,20,20.0
High,"[21, 23)",0.5070422535211268,71,36,22.0
High,"[23, 25)",0.5050505050505051,99,50,24.0
High,"[25, 27)",0.35714285714285715,70,25,26.0
High,"[27, 29)",0.41025641025641024,39,16,28.0
High,"[29, 31)",0.2903225806451613,31,9,30.0
High,"[31, 33)",0.4444444444444444,27,12,32.0
High,"[33, 35)",0.2727272727272727,11,3,34.0
High,"[35, 37)",0.6666666666666666,9,6,36.0
High,"[37, 39)",0.2,5,1,38.0
High,"[39, 41)",1.0,1,1,40.0
High,"[41, 43)",0.0,2,0,42.0
