centre_volume_cat,bmi_bin,mean,count,sum,bmi_mid
Low,"[15, 17)",0.2857142857142857,7,2,16.0
Low,"[17, 19)",0.2857142857142857,49,14,18.0
Low,"[19, 21)",0.3,110,33,20.0
Low,"[21, 23)",0.23841059602649006,151,36,22.0
Low,"[23, 25)",0.2391304347826087,230,55,24.0
Low,"[25, 27)",0.23976608187134502,171,41,26.0
Low,"[27, 29)",0.18705035971223022,139,26,28.0
Low,"[29, 31)",0.14018691588785046,107,15,30.0
Low,"[31, 33)",0.14457831325301204,83,12,32.0
Low,"[33, 35)",0.19148936170212766,47,9,34.0
Low,"[35, 37)",0.13793103448275862,29,4,36.0
Low,"[37, 39)",0.11764705882352941,17,2,38.0
Low,"[39, 41)",0.09090909090909091,11,1,40.0
Low,"[41, 43)",0.125,8,1,42.0
Mid,"[15, 17)",0.0,4,0,16.0
Mid,"[17, 19)",0.13333333333333333,15,2,18.0
Mid,"[19, 21)",0.4,40,16,20.0
Mid,"[21, 23)",0.2830188679245283,53,15,22.0
Mid,"[23, 25)",0.22972972972972974,74,17,24.0
Mid,"[25, 27)",0.2653061224489796,49,13,26.0
Mid,"[27, 29)",0.16279069767441862,43,7,28.0
Mid,"[29, 31)",0.16666666666666666,36,6,30.0
Mid,"[31, 33)",0.23076923076923078,26,6,32.0
Mid,"[33, 35)",0.26666666666666666,15,4,34.0
Mid,"[35, 37)",0.2,10,2,36.0
Mid,"[37, 39)",0.3333333333333333,3,1,38.0
Mid,"[39, 41)",0.0,1,0,40.0
Mid,"[41, 43)",0.0,1,0,42.0
High,"[15, 17)",0.6666666666666666,3,2,16.0
High,"[17, 19)",0.4782608695652174,23,11,18.0
High,"[19, 21)",0.4888888888888889,45,22,20.0
High,"[21, 23)",0.5180722891566265,83,43,22.0
High,"[23, 25)",0.514018691588785,107,55,24.0
High,"[25, 27)",0.38461538461538464,78,30,26.0
High,"[27, 29)",0.4230769230769231,52,22,28.0
High,"[29, 31)",0.30303030303030304,33,10,30.0
High,"[31, 33)",0.4838709677419355,31,15,32.0
High,"[33, 35)",0.3125,16,5,34.0
High,"[35, 37)",0.6666666666666666,9,6,36.0
High,"[37, 39)",0.2,5,1,38.0
High,"[39, 41)",1.0,1,1,40.0
High,"[41, 43)",0.0,2,0,42.0
