centre_volume_cat,bmi_bin,mean,count,sum,bmi_mid
Low,"[15, 17)",0.25,4,1,16.0
Low,"[17, 19)",0.32,25,8,18.0
Low,"[19, 21)",0.28125,64,18,20.0
Low,"[21, 23)",0.3125,80,25,22.0
Low,"[23, 25)",0.22535211267605634,142,32,24.0
Low,"[25, 27)",0.23148148148148148,108,25,26.0
Low,"[27, 29)",0.2077922077922078,77,16,28.0
Low,"[29, 31)",0.09230769230769231,65,6,30.0
Low,"[31, 33)",0.23529411764705882,51,12,32.0
Low,"[33, 35)",0.07407407407407407,27,2,34.0
Low,"[35, 37)",0.18181818181818182,22,4,36.0
Low,"[37, 39)",0.0,8,0,38.0
Low,"[39, 41)",0.0,6,0,40.0
Low,"[41, 43)",0.0,5,0,42.0
Mid,"[15, 17)",0.2,5,1,16.0
Mid,"[17, 19)",0.15625,32,5,18.0
Mid,"[19, 21)",0.359375,64,23,20.0
Mid,"[21, 23)",0.1978021978021978,91,18,22.0
Mid,"[23, 25)",0.2033898305084746,118,24,24.0
Mid,"[25, 27)",0.29411764705882354,85,25,26.0
Mid,"[27, 29)",0.17777777777777778,90,16,28.0
Mid,"[29, 31)",0.22807017543859648,57,13,30.0
Mid,"[31, 33)",0.10638297872340426,47,5,32.0
Mid,"[33, 35)",0.375,32,12,34.0
Mid,"[35, 37)",0.08333333333333333,12,1,36.0
Mid,"[37, 39)",0.3333333333333333,9,3,38.0
Mid,"[39, 41)",0.2,5,1,40.0
Mid,"[41, 43)",0.0,3,0,42.0
High,"[15, 17)",0.4,5,2,16.0
High,"[17, 19)",0.4666666666666667,30,14,18.0
High,"[19, 21)",0.44776119402985076,67,30,20.0
High,"[21, 23)",0.4396551724137931,116,51,22.0
High,"[23, 25)",0.47019867549668876,151,71,24.0
High,"[25, 27)",0.3238095238095238,105,34,26.0
High,"[27, 29)",0.34328358208955223,67,23,28.0
High,"[29, 31)",0.2222222222222222,54,12,30.0
High,"[31, 33)",0.38095238095238093,42,16,32.0
High,"[33, 35)",0.21052631578947367,19,4,34.0
High,"[35, 37)",0.5,14,7,36.0
High,"[37, 39)",0.125,8,1,38.0
High,"[39, 41)",0.5,2,1,40.0
High,"[41, 43)",0.3333333333333333,3,1,42.0
