tier,decile,mean_pred,mean_obs,n
Low,0,0.10136876589332552,0.11475409836065574,61
Low,1,0.1322486326188265,0.09836065573770492,61
Low,2,0.15514140289663464,0.04918032786885246,61
Low,3,0.17678190651178455,0.13114754098360656,61
Low,4,0.19991049768625957,0.16393442622950818,61
Low,5,0.22009306100885714,0.18032786885245902,61
Low,6,0.24298816073068416,0.21311475409836064,61
Low,7,0.26804159327526106,0.3442622950819672,61
Low,8,0.31562865347276636,0.2786885245901639,61
Low,9,0.38664734737881035,0.4426229508196721,61
Mid,0,0.13075892798122007,0.1111111111111111,99
Mid,1,0.16860250924152684,0.17346938775510204,98
Mid,2,0.19533883876116376,0.17346938775510204,98
Mid,3,0.22097783074330027,0.29292929292929293,99
Mid,4,0.24639030758922853,0.25510204081632654,98
Mid,5,0.270475370263695,0.20408163265306123,98
Mid,6,0.2923875623708261,0.2727272727272727,99
Mid,7,0.3217013799778472,0.35714285714285715,98
Mid,8,0.3629543745848111,0.32653061224489793,98
Mid,9,0.41675472884571857,0.35353535353535354,99
High,0,0.2063974500429199,0.4186046511627907,43
High,1,0.2732263157867698,0.42857142857142855,42
High,2,0.31332479871692137,0.40476190476190477,42
High,3,0.3556467646136566,0.46511627906976744,43
High,4,0.40026913826576366,0.47619047619047616,42
High,5,0.4261341733590438,0.38095238095238093,42
High,6,0.4468317555729351,0.46511627906976744,43
High,7,0.48043364892338547,0.42857142857142855,42
High,8,0.5050370235637685,0.5476190476190477,42
High,9,0.5421453349598884,0.4418604651162791,43
