,coef,std_err,z,p_value
Intercept,0.8338094505083677,0.39183509822384827,2.1279600890475296,0.03334039279137793
asa_ge3[T.True],-0.264641557728669,0.19438887215611003,-1.3614028148490946,0.17338642706124652
sex_male[T.True],-0.23623228082102207,0.06886318916321052,-3.430458038490422,0.0006025631611748785
malignant[T.True],-0.19821535584788763,0.10270372726901755,-1.9299723692470399,0.053610261429676793
robotic[T.True],-0.2214261870629398,0.18233080617005148,-1.214420051740603,0.22458736218881659
splenectomy[T.True],-0.3829404572525135,0.11692734500028312,-3.275029098211255,0.0010565109069580814
bmi,-0.05664749590938781,0.013352450924150964,-4.242479244535387,2.210639917489649e-05
centre_volume_scaled,0.03388252132720245,0.30008296689035296,0.11291051164387732,0.9101015025408358
bmi:centre_volume_scaled,0.019847122838876928,0.0064526899237282555,3.0757905731521027,0.002099452506289575
age,-0.006747785753093676,0.0035955282517952706,-1.8767160985939864,0.06055701500509017
