,coef,std_err,z,p_value
Intercept,-1.298511713934252,0.8676756649009443,-1.4965404314784982,0.13451287998361094
asa_ge3[T.True],-0.2598737749249567,0.19549024020144362,-1.3293439849333084,0.18373450907580569
sex_male[T.True],-0.23668903799854463,0.07458402072527628,-3.1734550604393936,0.0015063621961154889
malignant[T.True],-0.19715064232262197,0.10171587378634908,-1.9382485248736157,0.05259290917563221
robotic[T.True],-0.23195920633055256,0.18100064172534197,-1.2815380327907195,0.20000474999265416
splenectomy[T.True],-0.3862660826620892,0.11615915675537257,-3.3253175509491095,0.000883178822572988
"bs(bmi, df=4, include_intercept=False)[0]",1.3376929187996287,0.995426990351118,1.3438383043318756,0.17900068004732983
"bs(bmi, df=4, include_intercept=False)[1]",0.3573800965436004,0.8932265050049175,0.40010019243845985,0.6890827224914731
"bs(bmi, df=4, include_intercept=False)[2]",-0.5058310698824829,1.1521384668905224,-0.4390366995103095,0.6606349445118702
"bs(bmi, df=4, include_intercept=False)[3]",-0.4083706729122965,1.8896058877373687,-0.21611420432293596,0.8288987278855252
centre_volume_scaled,0.5303727089568446,0.6010039066527663,0.8824779724156947,0.37751838657563397
"bs(bmi, df=4, include_intercept=False)[0]:centre_volume_scaled",-0.012986837696140344,0.6261913530535975,-0.02073940758333781,0.9834535330669663
"bs(bmi, df=4, include_intercept=False)[1]:centre_volume_scaled",-0.20612690196043154,0.5016303368062379,-0.410913947654747,0.681135634754753
"bs(bmi, df=4, include_intercept=False)[2]:centre_volume_scaled",0.8720358300135834,0.9423064851638655,0.9254269643086854,0.3547438582249124
"bs(bmi, df=4, include_intercept=False)[3]:centre_volume_scaled",0.2756280241200935,2.0290796313099966,0.13583893892924498,0.8919486075354925
age,-0.007111753940999068,0.0034250878132659653,-2.0763712724251913,0.037859626082723745
