tier,decile,mean_pred,mean_obs,n
Low,0,0.10988015381574343,0.13675213675213677,117
Low,1,0.14532822388327984,0.06896551724137931,116
Low,2,0.16990970138407666,0.10344827586206896,116
Low,3,0.1951933649579806,0.1724137931034483,116
Low,4,0.218256778056318,0.21551724137931033,116
Low,5,0.2435054933524888,0.20689655172413793,116
Low,6,0.2672350492339138,0.2672413793103448,116
Low,7,0.2936804210838691,0.31896551724137934,116
Low,8,0.33904568464307167,0.3017241379310345,116
Low,9,0.3992737781538701,0.3620689655172414,116
Mid,0,0.14125283767898897,0.10526315789473684,38
Mid,1,0.18159205479572332,0.32432432432432434,37
Mid,2,0.20575249025669376,0.13513513513513514,37
Mid,3,0.2285652751660454,0.21621621621621623,37
Mid,4,0.25306936117073525,0.13513513513513514,37
Mid,5,0.2733073509337197,0.16216216216216217,37
Mid,6,0.29788619282683987,0.08108108108108109,37
Mid,7,0.32174438151695833,0.35135135135135137,37
Mid,8,0.36338127030674827,0.5405405405405406,37
Mid,9,0.41719523074036047,0.35135135135135137,37
High,0,0.19231966254367794,0.42857142857142855,49
High,1,0.254673554905266,0.4489795918367347,49
High,2,0.292336726482835,0.4583333333333333,48
High,3,0.33353634820654937,0.5102040816326531,49
High,4,0.3750536100351649,0.375,48
High,5,0.4109990764422404,0.4897959183673469,49
High,6,0.4334367956765102,0.5,48
High,7,0.46802988708265236,0.3877551020408163,49
High,8,0.49763435688522945,0.5,48
High,9,0.5341617528538529,0.4489795918367347,49
