tier,decile,mean_pred,mean_obs,n
Low,0,0.0950668783602841,0.09836065573770492,61
Low,1,0.13033134247663877,0.09836065573770492,61
Low,2,0.15442201349704057,0.11475409836065574,61
Low,3,0.17552658454980077,0.08196721311475409,61
Low,4,0.19903147387341968,0.18032786885245902,61
Low,5,0.22152657087615962,0.16393442622950818,61
Low,6,0.246307245948626,0.2459016393442623,61
Low,7,0.27280606720737294,0.2786885245901639,61
Low,8,0.32132800898452446,0.36065573770491804,61
Low,9,0.38465592123081993,0.39344262295081966,61
Mid,0,0.12668725814815426,0.1111111111111111,99
Mid,1,0.16762364946793012,0.15306122448979592,98
Mid,2,0.194197553932369,0.23469387755102042,98
Mid,3,0.22142277270389915,0.20202020202020202,99
Mid,4,0.24728947776411814,0.2653061224489796,98
Mid,5,0.2701778611234691,0.23469387755102042,98
Mid,6,0.29456937965923735,0.30303030303030304,99
Mid,7,0.3242451595927919,0.2755102040816326,98
Mid,8,0.3644058072624839,0.3877551020408163,98
Mid,9,0.41474303020563846,0.35353535353535354,99
High,0,0.20461792452359573,0.3953488372093023,43
High,1,0.2717472877628052,0.4523809523809524,42
High,2,0.3118273345694909,0.35714285714285715,42
High,3,0.35447908964845054,0.4883720930232558,43
High,4,0.39628297375671984,0.3333333333333333,42
High,5,0.42054813806784985,0.5714285714285714,42
High,6,0.44412811171423167,0.5348837209302325,43
High,7,0.47852371077848366,0.35714285714285715,42
High,8,0.5116883851742691,0.5238095238095238,42
High,9,0.5546825271626152,0.4418604651162791,43
