,coef,std_err,z,p_value
Intercept,0.80232452911542,0.36419577194574765,2.2030034144244213,0.027594507986771242
asa_ge3[T.True],-0.26004921297477596,0.1979894558996695,-1.313449808693626,0.18903142308725795
sex_male[T.True],-0.23733000806308407,0.06867308085994511,-3.4559394320331323,0.0005483785281333195
malignant[T.True],-0.19997527047999725,0.10535441114796847,-1.8981195784876572,0.057680331622386345
robotic[T.True],-0.19467047579729058,0.18766282571409518,-1.0373417060972512,0.29957663539564827
splenectomy[T.True],-0.391696417374056,0.12050621624544183,-3.2504249953070117,0.0011523266035694027
bmi,-0.050199201758750096,0.012912819648912048,-3.887547656021012,0.00010126211093226601
centre_volume_scaled,-0.00045491428336318887,0.023705379925579206,-0.019190339272829593,0.9846892643286035
bmi:centre_volume_scaled,0.0011911375605381139,0.000499248491430092,2.385861111219611,0.017039184761399716
age,-0.006654993252260007,0.003586499843042562,-1.8555676965022052,0.06351520167434783
