,coef,std_err,z,p_value
Intercept,0.8386008622148262,0.40821197940996967,2.0543269294226527,0.03994406002829615
asa_ge3[T.True],-0.22426227570092183,0.2629204243384975,-0.8529663538508323,0.3936779629891406
sex_male[T.True],-0.2327648932877079,0.07497311638713997,-3.104644764741749,0.0019050767588589062
malignant[T.True],-0.3178352527291311,0.15918170838459766,-1.9966820054551235,0.04585973811694246
robotic[T.True],0.1502614798013827,0.32905001765400854,0.45665239854015305,0.6479209103472302
splenectomy[T.True],-0.38080907610630443,0.148514475694563,-2.564120933837331,0.010343749718659166
bmi,-0.05387327223110661,0.013420015525550581,-4.014397161354727,5.9597921139695525e-05
centre_volume_scaled,-0.0012699376124996036,0.019684252119596495,-0.06451541083622515,0.9485598366018262
bmi:centre_volume_scaled,0.0011519208891091273,0.0005819141434284857,1.9795375350774451,0.047755517945048495
age,-0.0056564876115092425,0.0035005978126717466,-1.6158633222683942,0.1061238671309084
