,coef,std_err,z,p_value
Intercept,-0.928234782827122,0.874918106511453,-1.0609390478021512,0.2887176022234823
asa_ge3[T.True],-0.2082728731633694,0.2678109357397089,-0.7776862157928989,0.436754020314966
sex_male[T.True],-0.23875379635569396,0.07857055172506215,-3.0387185925733693,0.0023758667068557895
malignant[T.True],-0.31668511723389164,0.15761037191697344,-2.0092910979279726,0.04450627143255656
robotic[T.True],0.1585235922853407,0.32292494989163634,0.4908991774668892,0.6234977588493584
splenectomy[T.True],-0.3796198883517186,0.14746696273211088,-2.5742707472814623,0.010045163222887708
"bs(bmi, df=4, include_intercept=False)[0]",0.7834608366566396,1.0385477367072866,0.754381150683165,0.45062038662927917
"bs(bmi, df=4, include_intercept=False)[1]",0.38929955792163007,0.9106230788637019,0.42750899571687523,0.6690086343932057
"bs(bmi, df=4, include_intercept=False)[2]",-1.3425994760332403,1.3076140511512413,-1.026755161319349,0.3045357677700401
"bs(bmi, df=4, include_intercept=False)[3]",-0.9469301200652188,1.970781915236423,-0.48048447813751183,0.6308829376244698
centre_volume_scaled,0.3799133283039029,0.671105035030852,0.5661011443408968,0.5713250254360807
"bs(bmi, df=4, include_intercept=False)[0]:centre_volume_scaled",0.039338770032347224,0.7654254133214968,0.05139464844999079,0.9590110490577676
"bs(bmi, df=4, include_intercept=False)[1]:centre_volume_scaled",-0.36670337139706294,0.5250665837850416,-0.6983940374830416,0.48493080418878776
"bs(bmi, df=4, include_intercept=False)[2]:centre_volume_scaled",1.028716768492094,1.1872622955530328,0.8664612464703197,0.3862372695553177
"bs(bmi, df=4, include_intercept=False)[3]:centre_volume_scaled",0.33252720198991004,1.968368143215824,0.1689354723281811,0.8658473972932366
age,-0.006265113532896207,0.0033467151448668218,-1.8720187592020232,0.06120400826002706
