,coef,std_err,z,p_value
Intercept,-0.9451625367889003,0.7735235769835968,-1.221892344218673,0.22174834095961027
asa_ge3[T.True],-0.26809671959833115,0.19237123442725917,-1.393642455934366,0.16342560110613402
sex_male[T.True],-0.2315273269950216,0.07675195072005664,-3.016566026308429,0.002556555336796854
malignant[T.True],-0.19362196957699035,0.10214062909178764,-1.895641051936286,0.05800752500405368
robotic[T.True],-0.2680801503801369,0.17896972836900862,-1.4979077904582612,0.1341572093446452
splenectomy[T.True],-0.3843652522746085,0.11597580943374049,-3.3141846920603277,0.000919107755993794
"bs(bmi, df=4, include_intercept=False)[0]",0.9771551722895897,0.9507724824215155,1.0277486889406815,0.3040680583272196
"bs(bmi, df=4, include_intercept=False)[1]",0.22799012519568582,0.7807181580918368,0.2920261592902097,0.7702666230713373
"bs(bmi, df=4, include_intercept=False)[2]",-0.9822061414117506,1.2376841281281419,-0.793583854789531,0.4274377346120414
"bs(bmi, df=4, include_intercept=False)[3]",0.7801722223810681,2.039200162223105,0.38258736775037144,0.7020257380059953
centre_volume_scaled,0.0640938955013137,0.21934472072505956,0.2922062372390216,0.770128943021266
"bs(bmi, df=4, include_intercept=False)[0]:centre_volume_scaled",0.223576607787487,0.30718371697973146,0.7278270150049619,0.4667194851502784
"bs(bmi, df=4, include_intercept=False)[1]:centre_volume_scaled",-0.040940917322468705,0.19382563538769257,-0.21122550296599388,0.8327113111855112
"bs(bmi, df=4, include_intercept=False)[2]:centre_volume_scaled",0.7777026717262859,0.42597993431753084,1.8256791202436697,0.06789861009422238
"bs(bmi, df=4, include_intercept=False)[3]:centre_volume_scaled",-0.6724663552779642,0.5582406492561962,-1.204617320816682,0.22835106697290986
age,-0.007095118889026064,0.0034241135353122046,-2.072103864505516,0.038255756021362344
