,coef,std_err,z,p_value
Intercept,0.9127873353595533,0.41446781959609036,2.2023117168640214,0.02764329710773972
asa_ge3[T.True],-0.24669257726123728,0.2583539860956758,-0.9548626711332414,0.33964714926549455
sex_male[T.True],-0.23566187387689735,0.07429713397160258,-3.171883776391303,0.0015145360653706292
malignant[T.True],-0.31793075922043573,0.16154434067925266,-1.9680711678516136,0.04905984972553381
robotic[T.True],0.09444382926227386,0.28868834924615133,0.3271480456654866,0.7435559141232975
splenectomy[T.True],-0.38398725131491984,0.1474071196897362,-2.604943724042228,0.009188935130421842
bmi,-0.05586873984825315,0.013425281662697144,-4.1614575583533115,3.162227736859101e-05
centre_volume_scaled,-0.045154660252134576,0.0764172083326782,-0.5908964909520927,0.5545897773102749
bmi:centre_volume_scaled,0.0073868886872548375,0.0025994451760808263,2.841717438485093,0.004487124157049854
age,-0.005487397280257623,0.003448087696580417,-1.5914320525257108,0.11151237568108317
