,coef,std_err,z,p_value
Intercept,-0.5952054260314432,0.7903619363927084,-0.7530795685177109,0.45140210125341607
asa_ge3[T.True],-0.23483121773138504,0.2626348078779577,-0.8941359282449243,0.3712491682073077
sex_male[T.True],-0.2371582212562501,0.07892270282322841,-3.004942972967343,0.002656306475935127
malignant[T.True],-0.315545199690571,0.16069882892795137,-1.9635812021507906,0.049578679115304655
robotic[T.True],0.10195032340646065,0.2937583497088258,0.34705506586455886,0.728549950069574
splenectomy[T.True],-0.38907581586950357,0.14806419170145604,-2.62775091937153,0.008595142575049735
"bs(bmi, df=4, include_intercept=False)[0]",0.5136367788916982,0.9692177326135595,0.529949836458979,0.5961467114130066
"bs(bmi, df=4, include_intercept=False)[1]",0.1915346428387651,0.8128646032278649,0.235629208207844,0.8137204066588155
"bs(bmi, df=4, include_intercept=False)[2]",-1.5863958012240895,1.4061026245491612,-1.1282219188892673,0.2592262092790293
"bs(bmi, df=4, include_intercept=False)[3]",-0.07517352437002792,2.462078735970931,-0.030532542794730295,0.9756423400760829
centre_volume_scaled,-0.012767750533835194,0.21433785747540696,-0.05956834076919968,0.9524994339809902
"bs(bmi, df=4, include_intercept=False)[0]:centre_volume_scaled",0.20609881067876232,0.27241827290262566,0.7565528130061641,0.44931782044785884
"bs(bmi, df=4, include_intercept=False)[1]:centre_volume_scaled",-0.09348103544695492,0.19579113397155556,-0.4774528526942175,0.6330396861744348
"bs(bmi, df=4, include_intercept=False)[2]:centre_volume_scaled",0.7600866027709288,0.37898611322892606,2.0055790337410055,0.044901180686091426
"bs(bmi, df=4, include_intercept=False)[3]:centre_volume_scaled",-0.5440174924441159,0.5575955707645409,-0.975648877013482,0.32923849447859466
age,-0.006030969180276173,0.003281551833275171,-1.8378405969766234,0.0660858975197233
