tier,decile,mean_pred,mean_obs,n
Low,0,0.1102947651661478,0.10144927536231885,69
Low,1,0.14133823340828466,0.11764705882352941,68
Low,2,0.1618854817761797,0.1323529411764706,68
Low,3,0.18194509848832635,0.14705882352941177,68
Low,4,0.20566254715001508,0.14492753623188406,69
Low,5,0.22706486010393848,0.2647058823529412,68
Low,6,0.2498331157923784,0.20588235294117646,68
Low,7,0.2751944921175874,0.36764705882352944,68
Low,8,0.3198792597945081,0.3088235294117647,68
Low,9,0.3888476272460999,0.36231884057971014,69
Mid,0,0.12551762264010646,0.12121212121212122,66
Mid,1,0.16496579451082824,0.1076923076923077,65
Mid,2,0.19442241555350157,0.18181818181818182,66
Mid,3,0.2170736154083718,0.2,65
Mid,4,0.2400672674504832,0.19696969696969696,66
Mid,5,0.264664180108325,0.23076923076923078,65
Mid,6,0.2876233134561986,0.18461538461538463,65
Mid,7,0.31184326759891506,0.3333333333333333,66
Mid,8,0.3521156158332677,0.35384615384615387,65
Mid,9,0.413326636296469,0.3333333333333333,66
High,0,0.16675349657223532,0.27941176470588236,68
High,1,0.22973505428772015,0.3088235294117647,68
High,2,0.26995336595765684,0.3382352941176471,68
High,3,0.29752694219179576,0.39705882352941174,68
High,4,0.33149161958489026,0.3382352941176471,68
High,5,0.36962661578119016,0.38235294117647056,68
High,6,0.40427324194750985,0.47058823529411764,68
High,7,0.4283016968306489,0.47058823529411764,68
High,8,0.4687949730917736,0.4264705882352941,68
High,9,0.519461269700284,0.5,68
