tier,decile,mean_pred,mean_obs,n
Low,0,0.10393629623791407,0.13043478260869565,69
Low,1,0.13990759644223236,0.10294117647058823,68
Low,2,0.1626200173855968,0.1323529411764706,68
Low,3,0.181382700958856,0.1323529411764706,68
Low,4,0.20625160832556408,0.13043478260869565,69
Low,5,0.22823884928525673,0.25,68
Low,6,0.25410643682533285,0.25,68
Low,7,0.27883317509315086,0.3088235294117647,68
Low,8,0.3241949122168291,0.38235294117647056,68
Low,9,0.39003827719303424,0.3333333333333333,69
Mid,0,0.1207678715708969,0.13636363636363635,66
Mid,1,0.16238621882615073,0.1076923076923077,65
Mid,2,0.1935602120518266,0.16666666666666666,66
Mid,3,0.21723953017698636,0.2153846153846154,65
Mid,4,0.2402242467427285,0.19696969696969696,66
Mid,5,0.26463870723625854,0.18461538461538463,65
Mid,6,0.2887377187866649,0.24615384615384617,65
Mid,7,0.3149478112635827,0.2727272727272727,66
Mid,8,0.35281710154844803,0.35384615384615387,65
Mid,9,0.40632648801363214,0.36363636363636365,66
High,0,0.16385792313016828,0.23529411764705882,68
High,1,0.22777618522466125,0.36764705882352944,68
High,2,0.2685092664350807,0.29411764705882354,68
High,3,0.2977897370047497,0.36764705882352944,68
High,4,0.33428084956139165,0.35294117647058826,68
High,5,0.3696041061371045,0.39705882352941174,68
High,6,0.40081365246717393,0.45588235294117646,68
High,7,0.4286386661098417,0.5,68
High,8,0.4671004622028329,0.47058823529411764,68
High,9,0.5297216830055527,0.47058823529411764,68
