,coef,std_err,z,p_value
Intercept,0.8023245291154185,0.36419577194574493,2.2030034144244337,0.02759450798677036
asa_ge3[T.True],-0.260049212974776,0.1979894558996695,-1.3134498086936262,0.18903142308725773
sex_male[T.True],-0.2373300080630842,0.06867308085994513,-3.4559394320331336,0.000548378528133317
malignant[T.True],-0.19997527047999716,0.1053544111479685,-1.8981195784876561,0.05768033162238648
robotic[T.True],-0.19467047579729077,0.1876628257140949,-1.0373417060972536,0.29957663539564716
splenectomy[T.True],-0.3916964173740561,0.1205062162454419,-3.2504249953070103,0.001152326603569407
bmi,-0.05019920175875002,0.012912819648912005,-3.887547656021019,0.00010126211093226288
centre_volume_scaled,-0.00045491428336319185,0.023705379925579133,-0.019190339272829777,0.9846892643286033
bmi:centre_volume_scaled,0.001191137560538109,0.0004992484914300878,2.3858611112196217,0.017039184761399217
age,-0.006654993252260008,0.0035864998430425697,-1.8555676965022012,0.0635152016743484
