,coef,std_err,z,p_value
Intercept,-1.1592189357087106,0.8687714225689707,-1.3343198286620457,0.18209906187940972
asa_ge3[T.True],-0.2537824944311095,0.19872115858211484,-1.2770783757595818,0.20157457836810666
sex_male[T.True],-0.24024335325991172,0.07376473237257429,-3.2568863945235997,0.0011264150538854317
malignant[T.True],-0.20045690789651524,0.10438435797511503,-1.920373049995706,0.05481079517018194
robotic[T.True],-0.19957766160952115,0.18750927191094197,-1.0643615623674925,0.28716493939792864
splenectomy[T.True],-0.3973774502538515,0.11879601724627951,-3.3450401744532954,0.0008227065262192886
"bs(bmi, df=4, include_intercept=False)[0]",1.3352738054716973,1.0070249500340633,1.3259590096814688,0.1848532751489086
"bs(bmi, df=4, include_intercept=False)[1]",0.199036049038018,0.8340527879759413,0.2386372324478811,0.811386891753244
"bs(bmi, df=4, include_intercept=False)[2]",0.015511990431545839,1.3200122860524945,0.011751398525186875,0.9906239563474405
"bs(bmi, df=4, include_intercept=False)[3]",-1.1482915199220103,2.019866414927497,-0.5684987439940319,0.5696963583137542
centre_volume_scaled,0.032968187249976404,0.05350463684051482,0.6161743952817975,0.5377794255412757
"bs(bmi, df=4, include_intercept=False)[0]:centre_volume_scaled",-0.008778047026841759,0.05677908750001047,-0.1546000017495903,0.877136668617594
"bs(bmi, df=4, include_intercept=False)[1]:centre_volume_scaled",-0.0012015185520902133,0.04480250258867387,-0.02681811244164648,0.9786048067739426
"bs(bmi, df=4, include_intercept=False)[2]:centre_volume_scaled",0.012329119181592707,0.1133438620800171,0.10877624033040932,0.9133799694448226
"bs(bmi, df=4, include_intercept=False)[3]:centre_volume_scaled",0.13138721838028394,0.24808473540692397,0.5296062176690335,0.5963849825220433
age,-0.007004079644332022,0.0034015437770757366,-2.0590884913888536,0.03948576211733653
