,coef,std_err,z,p_value
Intercept,0.8386008622148639,0.4082119794100232,2.054326929422476,0.039944060028313244
asa_ge3[T.True],-0.2242622757009247,0.2629204243384944,-0.8529663538508533,0.39367796298912894
sex_male[T.True],-0.23276489328770755,0.07497311638714044,-3.1046447647417246,0.001905076758859065
malignant[T.True],-0.3178352527291313,0.15918170838459908,-1.996682005455107,0.04585973811694428
robotic[T.True],0.15026147980137786,0.329050017654008,0.45665239854013906,0.6479209103472402
splenectomy[T.True],-0.3808090761063078,0.14851447569456294,-2.5641209338373545,0.01034374971865846
bmi,-0.05387327223110689,0.013420015525547722,-4.014397161355602,5.959792113947415e-05
centre_volume_scaled,-0.0012699376125010022,0.01968425211959873,-0.06451541083628888,0.9485598366017753
bmi:centre_volume_scaled,0.0011519208891091364,0.0005819141434287809,1.9795375350764564,0.04775551794515971
age,-0.005656487611509294,0.003500597812671774,-1.6158633222683962,0.10612386713090793
