,coef,std_err,z,p_value
Intercept,-0.8213320745168643,0.8619927319157695,-0.9528294660808365,0.34067648210327517
asa_ge3[T.True],-0.2128156576356702,0.2669218203654737,-0.7972958424465993,0.4252792343662476
sex_male[T.True],-0.2393314323387943,0.07893265404761865,-3.0320966047133036,0.002428614656089663
malignant[T.True],-0.31581895711589614,0.15814287568843682,-1.9970482751186518,0.04581993905600355
robotic[T.True],0.15335345361301134,0.3312871567557074,0.46290189790271535,0.6434346870579166
splenectomy[T.True],-0.3879994823792576,0.148926742761145,-2.6053042938134188,0.00917926967138963
"bs(bmi, df=4, include_intercept=False)[0]",0.7679545224173021,1.0317669705657082,0.7443100470605681,0.4566889243709483
"bs(bmi, df=4, include_intercept=False)[1]",0.21084598284667191,0.8456247197874727,0.24933753462134237,0.8030996995031723
"bs(bmi, df=4, include_intercept=False)[2]",-0.8179368174811013,1.4053432382640272,-0.5820192499673396,0.5605537146177428
"bs(bmi, df=4, include_intercept=False)[3]",-1.6618517662790868,2.02907768240401,-0.8190183060463996,0.4127759693323081
centre_volume_scaled,0.02594669870440993,0.05864780567700749,0.4424155073645351,0.658188559434421
"bs(bmi, df=4, include_intercept=False)[0]:centre_volume_scaled",0.001948539629336318,0.06866371121157372,0.028378012125390026,0.9773606609199414
"bs(bmi, df=4, include_intercept=False)[1]:centre_volume_scaled",-0.012338772811482959,0.04469340264381304,-0.27607593249987267,0.7824897456577441
"bs(bmi, df=4, include_intercept=False)[2]:centre_volume_scaled",0.03175024414863026,0.12868233820741148,0.2467335035322011,0.8051144759325983
"bs(bmi, df=4, include_intercept=False)[3]:centre_volume_scaled",0.1342300882985955,0.23969222814383775,0.5600101819657035,0.5754724926848078
age,-0.006201869854698935,0.0033195183195061893,-1.8683041507123008,0.06171968841299015
